workload                autonuma_tiering  autonuma_tiering_thp  nobalance  nobalance_thp    workload                autonuma_tiering_1_2  autonuma_tiering_thp_1_2  nobalance_1_2  nobalance_thp_1_2
NPB-BT.D                       16491.70              18723.32   13676.68       14343.13 NPB-BT.D                       16569.09              18818.07   12461.41       13235.47
NPB-CG.D                        2541.09               2749.54    1902.62        1995.00 NPB-CG.D                        2729.10               3000.75    1761.11        1805.30
NPB-FT.C                       14004.51              16180.88    8878.48        8607.07 NPB-FT.C                       13612.95              16066.83    6525.17        6754.53
NPB-LU.D                       21229.93              23492.69   13905.06       14099.74 NPB-LU.D                       20957.44              23479.24   12088.01       12286.35
NPB-MG.D                       13904.03              18916.39    7046.25        6937.35 NPB-MG.D                       14996.95              17200.96    5533.73        5625.13
NPB-SP.D                       12837.81              13612.86    6853.62        6583.24 NPB-SP.D                       12229.01              14095.56    5384.04        5257.70
bc-urand                          43.74                 60.35      29.77          34.59 bc-urand                          39.44                 57.73      25.46          29.27
bc-web                            38.43                 42.81      32.10          34.88 bc-web                            35.46                 39.78      28.58          30.67
bfs-urand                         56.99                 62.39      49.91          53.82 bfs-urand                         52.67                 56.68      44.96          47.47
bfs-web                           52.91                 57.99      48.84          52.97 bfs-web                           49.48                 53.89      44.78          48.10
cc-urand                          55.09                 75.11      55.23          64.55 cc-urand                          55.43                 71.65      50.13          58.83
cc-web                            49.72                 58.17      37.11          43.18 cc-web                            46.62                 53.98      32.76          37.65
faster_uniform_ycsb_a        1750270.75            2207538.19  999567.64     1165230.66 faster_uniform_ycsb_a        1714113.50            2217114.59  871735.98      989640.43
faster_uniform_ycsb_b        2298944.63            3068309.69 1353460.71     1582483.17 faster_uniform_ycsb_b        2249232.39            3055834.53 1170409.87     1350681.84
faster_uniform_ycsb_c        2580625.78            3505127.82 1497248.88     1756416.74 faster_uniform_ycsb_c        2531938.42            3499316.55 1280470.82     1493729.12
faster_uniform_ycsb_f        2047839.76            2680989.71 1525239.36     1850896.35 faster_uniform_ycsb_f        1976922.72            2675519.35 1374326.65     1658030.76
faster_ycsb_a                2041865.99            2686046.76 1518422.01     1844258.96 faster_ycsb_a                1971068.50            2679500.94 1371686.54     1660868.91
faster_ycsb_f                1037809.95            1202377.59  891493.22      991915.32 faster_ycsb_f                1015253.63            1198044.44  832278.30      931463.35
pr-urand                          47.38                 56.31      35.14          36.85 pr-urand                          45.60                 59.79      28.80          29.87
pr-web                            47.95                 50.76      47.84          50.35 pr-web                            46.16                 48.26      45.22          47.64
tpch_20                          116.18                116.28     116.20         115.79 tpch_20                          115.50                116.01     115.97         115.93
tpch_21                          191.42                198.81     185.32         191.90 tpch_21                          186.67                193.65     178.57         183.59
tpch_9                            45.60                 45.81      45.00          45.69 tpch_9                            45.10                 45.34      44.19          44.27
