workload,tiering,mem_policy,execution_time,throughput,rss,pgpromote_success,numa_pte_updates,numa_huge_pte_updates,numa_hint_faults,pgmigrate_success,numa_pages_migrated,thp_migration_success,thp_fault_alloc,numa_local,numa_other
bc-urand,nobalance,cpu0.weightedinterleave0_2,335.87,29.77,20.0,0,0,0,0,0,0,0,0,5649481,5446792
bc-urand,nobalance_thp,cpu0.weightedinterleave0_2,289.07,34.59,20.0,0,0,0,0,0,0,0,12540,2324852,2243981
bc-urand,nobalance_thp_64K,cpu0.weightedinterleave0_2,288.64,34.65,20.0,0,0,0,90,42,42,0,12551,2366299,2243004
bc-urand,autonuma_tiering,cpu0.weightedinterleave0_2,228.64,43.74,20.0,2883673,2883686,0,2917772,2883673,2883673,0,0,8400837,5446768
bc-urand,autonuma_tiering_thp,cpu0.weightedinterleave0_2,165.69,60.35,20.0,2884437,2884454,5632,7184,2884449,2884449,5632,12546,2334949,2243265
bc-urand,autonuma_tiering_thp_64K,cpu0.weightedinterleave0_2,161.55,61.9,20.0,2882956,2882972,5629,6201,2882967,2882967,5629,12540,2298327,2242068
bc-web,nobalance,cpu0.weightedinterleave0_2,311.55,32.1,16.3,0,0,0,0,0,0,0,0,9346942,9252340
bc-web,nobalance_thp,cpu0.weightedinterleave0_2,286.66,34.88,16.3,0,0,0,0,0,0,0,28194,2138496,2049234
bc-web,nobalance_thp_64K,cpu0.weightedinterleave0_2,287.18,34.82,16.3,0,0,0,133,20,20,0,28194,2197563,2018347
bc-web,autonuma_tiering,cpu0.weightedinterleave0_2,260.18,38.43,16.3,1338736,1363117,0,1409011,1338736,1338736,0,0,10680452,9252357
bc-web,autonuma_tiering_thp,cpu0.weightedinterleave0_2,233.57,42.81,16.3,1402050,1402241,2731,8217,1402050,1402050,2731,28194,2121909,2049139
bc-web,autonuma_tiering_thp_64K,cpu0.weightedinterleave0_2,233.24,42.87,16.3,1366461,1366476,2657,4295,1366468,1366468,2657,28162,2086445,2019335
bfs-urand,nobalance,cpu0.weightedinterleave0_2,200.36,49.91,17.6,0,0,0,0,0,0,0,0,10061278,10003197
bfs-urand,nobalance_thp,cpu0.weightedinterleave0_2,185.81,53.82,17.6,0,0,0,0,0,0,0,30158,2378105,2325526
bfs-urand,nobalance_thp_64K,cpu0.weightedinterleave0_2,186.25,53.69,-0.0,0,0,0,7,1,1,0,30088,2371714,2287616
bfs-urand,autonuma_tiering,cpu0.weightedinterleave0_2,175.47,56.99,17.7,2343268,2429986,0,2347209,2343278,2343278,0,0,12398281,10003367
bfs-urand,autonuma_tiering_thp,cpu0.weightedinterleave0_2,160.29,62.39,17.1,2319935,2425651,4723,14039,2319935,2319935,4519,30135,2392236,2332073
