workload,tiering,mem_policy,ldram_size,execution_time,throughput,rss,pgpromote_success,numa_pte_updates,numa_huge_pte_updates,numa_hint_faults,pgmigrate_success,pgmigrate_fail,numa_pages_migrated,thp_migration_success,thp_migration_success_2,thp_migration_success_3,thp_migration_success_4,thp_migration_success_5,thp_migration_success_6,thp_migration_success_7,thp_migration_success_8,thp_migration_success_9,thp_fault_alloc,thp_fault_alloc_2,thp_fault_alloc_3,thp_fault_alloc_4,thp_fault_alloc_5,thp_fault_alloc_6,thp_fault_alloc_7,thp_fault_alloc_8,thp_fault_alloc_9,thp_migration_split,thp_migration_split_2,thp_migration_split_3,thp_migration_split_4,thp_migration_split_5,thp_migration_split_6,thp_migration_split_7,thp_migration_split_8,thp_migration_split_9,thp_migration_fail,thp_migration_fail_2,thp_migration_fail_3,thp_migration_fail_4,thp_migration_fail_5,thp_migration_fail_6,thp_migration_fail_7,thp_migration_fail_8,thp_migration_fail_9,numa_local,numa_other,pgsteal_kswapd,pgsteal_direct,pgsteal_khugepaged,pgdemote_kswapd,pgdemote_direct,pgdemote_khugepaged
bc-urand,autonuma_tiering,cpu0.firsttouch0_2,10G,332.14192,30.11,-0.9,2595887,13731703,0,13661688,9902099,11055,2595930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10229717,10431148,7066202,0,0,7066202,0,0
bc-urand,autonuma_tiering,cpu0.weightedinterleave0_2.13,10G,409.66215,24.41,0.9,323967,23074303,0,22899041,323967,0,323967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3005220,8329267,0,0,0,0,0,0
bc-urand,autonuma_tiering,cpu0.weightedinterleave0_2.12,10G,445.47409,22.45,2.6,240,28352899,0,28185894,102032,1654,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2952529,8072612,0,0,0,0,0,0
bc-urand,autonuma_tiering,cpu0.weightedinterleave0_2,10G,437.46177,22.86,16.4,75,25492686,0,25292462,204674,1652,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2973343,8041661,0,0,0,0,0,0
bc-urand,autonuma_tiering,cpu0.weightedinterleave0_2.43,10G,430.53742,23.23,1.1,70,25116553,0,25008314,221600,826,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3062531,7996688,0,0,0,0,0,0
bc-urand,autonuma_tiering,cpu0.weightedinterleave0_2.21,10G,426.27807,23.46,11.5,47,25608185,0,25438567,238402,826,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3022169,7989646,0,0,0,0,0,0
bc-urand,nobalance,cpu0.firsttouch0_2,10G,393.69773,25.4,15.5,0,0,0,17,185414,1525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4450671,6559765,1316145,0,0,0,0,0
bc-urand,nobalance,cpu0.weightedinterleave0_2.13,10G,392.3861,25.49,16.7,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2858975,8170172,0,0,0,0,0,0
bc-urand,nobalance,cpu0.weightedinterleave0_2.12,10G,421.59271,23.72,12.7,0,0,0,23,178771,2410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3149277,7874439,72832,0,0,0,0,0
bc-urand,nobalance,cpu0.weightedinterleave0_2,10G,417.43303,23.96,12.4,0,0,0,30,212140,1538,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3973402,7054496,946241,0,0,0,0,0
