workload,tiering,mem_policy,ldram_size,execution_time,throughput,rss,pgpromote_success,numa_pte_updates,numa_huge_pte_updates,numa_hint_faults,pgmigrate_success,pgmigrate_fail,numa_pages_migrated,thp_migration_success,thp_migration_success_2,thp_migration_success_3,thp_migration_success_4,thp_migration_success_5,thp_migration_success_6,thp_migration_success_7,thp_migration_success_8,thp_migration_success_9,thp_fault_alloc,thp_fault_alloc_2,thp_fault_alloc_3,thp_fault_alloc_4,thp_fault_alloc_5,thp_fault_alloc_6,thp_fault_alloc_7,thp_fault_alloc_8,thp_fault_alloc_9,thp_migration_split,thp_migration_split_2,thp_migration_split_3,thp_migration_split_4,thp_migration_split_5,thp_migration_split_6,thp_migration_split_7,thp_migration_split_8,thp_migration_split_9,thp_migration_fail,thp_migration_fail_2,thp_migration_fail_3,thp_migration_fail_4,thp_migration_fail_5,thp_migration_fail_6,thp_migration_fail_7,thp_migration_fail_8,thp_migration_fail_9,numa_local,numa_other
faster_ycsb_a,nobalance,cpu0.firsttouch0_2,4G,324.27,1836396.66,7.7,0,0,0,830,543,15,5,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,1903295,913674
faster_ycsb_a,nobalance_thp,cpu0.firsttouch0_2,4G,316.89,2149234.36,2.9,0,0,0,2,27892,2036,1,0,,,,,,,,,4252,,,,,,,,,0,,,,,,,,,0,,,,,,,,,181235,1770
faster_ycsb_a,nobalance_thp_512K,cpu0.firsttouch0_2,4G,313.82,1770063.72,8.3,0,0,0,20392,113767,1901,5420,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17147,0,0,0,0,0,0,0,0,387,0,0,0,0,0,0,0,0,0,0,0,165125,9450
faster_ycsb_a,nobalance_thp_64K,cpu0.firsttouch0_2,4G,312.91,1861250.22,8.3,0,0,0,5,53230,4519,0,0,0,0,2,0,0,0,0,0,0,0,0,150090,0,0,0,0,0,0,0,0,3189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,631055,59242
faster_ycsb_a,autonuma_tiering,cpu0.firsttouch0_2,4G,317.56,1921779.09,-0.8,667159,2975922,0,2914380,1888810,11547,667151,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,2544080,1583035
faster_ycsb_a,autonuma_tiering_thp,cpu0.firsttouch0_2,4G,315.46,2112762.66,8.3,13854,3989016,7791,7768,403707,3868590,13855,769,0,0,15,0,0,0,0,0,4252,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7533,0,0,0,0,0,0,0,0,828439,2314
faster_ycsb_a,autonuma_tiering_thp_512K,cpu0.firsttouch0_2,4G,313.66,1775326.9,8.3,60544,4499456,0,35155,208069,4109926,60545,0,0,0,0,0,0,473,0,0,0,0,0,0,0,0,17100,0,0,0,0,0,0,0,0,1128,0,0,0,0,0,0,0,0,0,0,0,772070,8538
faster_ycsb_a,autonuma_tiering_thp_64K,cpu0.firsttouch0_2,4G,313.62,1797574.97,8.3,58475,4419261,0,290996,444042,3889296,58543,0,0,0,10255,0,0,1,0,0,0,0,0,150068,0,0,0,0,0,0,0,0,4712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380731,522772
faster_ycsb_f,nobalance,cpu0.firsttouch0_2,4G,317.03,964584.24,4.3,0,0,0,35,1172,221,0,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,1380387,969174
faster_ycsb_f,nobalance_thp,cpu0.firsttouch0_2,4G,316.57,1072257.61,2.8,0,0,0,1,23594,8506,0,0,,,,,,,,,4248,,,,,,,,,0,,,,,,,,,0,,,,,,,,,157478,1774
faster_ycsb_f,nobalance_thp_512K,cpu0.firsttouch0_2,4G,313.54,974638.82,8.3,0,0,0,723,71112,4292,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17096,0,0,0,0,0,0,0,0,544,0,0,0,0,0,0,0,0,0,0,0,765871,8664
faster_ycsb_f,nobalance_thp_64K,cpu0.firsttouch0_2,4G,312.91,993396.94,8.3,0,0,0,4,51252,4512,0,0,0,0,19,0,0,0,0,0,0,0,0,136693,0,0,0,0,0,0,0,0,3078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172896,59267
faster_ycsb_f,autonuma_tiering,cpu0.firsttouch0_2,4G,317.1,1001951.16,4.3,451431,2979096,0,2893552,1556993,5855,451426,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,2435806,1361541
