workload,tiering,mem_policy,ldram_size,execution_time,throughput,rss,pgpromote_success,numa_pte_updates,numa_huge_pte_updates,numa_hint_faults,pgmigrate_success,pgmigrate_fail,numa_pages_migrated,thp_migration_success,thp_migration_success_2,thp_migration_success_3,thp_migration_success_4,thp_migration_success_5,thp_migration_success_6,thp_migration_success_7,thp_migration_success_8,thp_migration_success_9,thp_fault_alloc,thp_fault_alloc_2,thp_fault_alloc_3,thp_fault_alloc_4,thp_fault_alloc_5,thp_fault_alloc_6,thp_fault_alloc_7,thp_fault_alloc_8,thp_fault_alloc_9,thp_migration_split,thp_migration_split_2,thp_migration_split_3,thp_migration_split_4,thp_migration_split_5,thp_migration_split_6,thp_migration_split_7,thp_migration_split_8,thp_migration_split_9,thp_migration_fail,thp_migration_fail_2,thp_migration_fail_3,thp_migration_fail_4,thp_migration_fail_5,thp_migration_fail_6,thp_migration_fail_7,thp_migration_fail_8,thp_migration_fail_9,numa_local,numa_other
faster_uniform_ycsb_a,autonuma_tiering,cpu0.weightedinterleave0_2.13,4G,321.91,1019373.12,8.3,2326585,5165422,0,5098036,3950136,23731,2326587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2966121,3272272
faster_uniform_ycsb_a,autonuma_tiering,cpu0.weightedinterleave0_2.12,4G,320.66,1036815.63,5.6,2026821,4935012,0,4869178,3547369,24529,2026821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2849371,2971209
faster_uniform_ycsb_a,autonuma_tiering,cpu0.weightedinterleave0_2,4G,319.05,1106978.08,5.3,1546054,3588030,0,3544586,2924422,27216,1546054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2748517,2479881
faster_uniform_ycsb_a,autonuma_tiering,cpu0.weightedinterleave0_2.43,4G,318.81,1089588.75,8.3,1709724,4196555,0,4089289,3403049,25149,1709726,0,0,0,957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2956035,2709917
faster_uniform_ycsb_a,autonuma_tiering,cpu0.weightedinterleave0_2.21,4G,318.37,1090830.5,7.4,1843270,4172572,0,4109318,3669268,33763,1843270,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3163417,2792787
faster_uniform_ycsb_a,nobalance,cpu0.weightedinterleave0_2.13,4G,320.9,821212.26,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,649556,1636295
faster_uniform_ycsb_a,nobalance,cpu0.weightedinterleave0_2.12,4G,320.21,877010.32,5.5,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,823912,1454380
faster_uniform_ycsb_a,nobalance,cpu0.weightedinterleave0_2,4G,318.77,1016499.33,5.2,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1190450,1090898
faster_uniform_ycsb_a,nobalance,cpu0.weightedinterleave0_2.43,4G,318.11,1089230.45,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1305629,984708
faster_uniform_ycsb_a,nobalance,cpu0.weightedinterleave0_2.21,4G,317.85,1110255.45,6.8,0,0,0,0,352,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306642,984037
faster_uniform_ycsb_a,autonuma_tiering_thp,cpu0.weightedinterleave0_2.13,4G,314.95,1362689.81,8.3,507753,5529565,10798,11333,510994,4513547,507794,991,0,0,0,0,0,0,0,0,4241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8797,0,0,0,0,0,0,0,0,95091,8171
faster_uniform_ycsb_a,autonuma_tiering_thp,cpu0.weightedinterleave0_2.12,4G,314.06,1304071.99,4.5,215342,5022425,9808,10119,231285,4792694,215408,420,0,0,0,0,0,0,0,0,4241,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9331,0,0,0,0,0,0,0,0,88697,7189
faster_uniform_ycsb_a,autonuma_tiering_thp,cpu0.weightedinterleave0_2,4G,312.87,1365388.28,4.0,61261,4420337,8632,9062,66462,4061547,61281,119,0,0,0,0,0,0,0,0,4241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7905,0,0,0,0,0,0,0,0,89158,5692
faster_uniform_ycsb_a,autonuma_tiering_thp,cpu0.weightedinterleave0_2.43,4G,312.91,1365149.33,8.3,33479,5276203,10304,10572,38153,4793606,33480,65,0,0,0,0,0,0,0,0,4241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9344,0,0,0,0,0,0,0,0,94931,5078
faster_uniform_ycsb_a,autonuma_tiering_thp,cpu0.weightedinterleave0_2.21,4G,312.94,1282913.72,8.3,18562,4308392,8414,8621,22380,3777794,18581,36,0,0,0,0,0,0,0,0,4241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7360,0,0,0,0,0,0,0,0,100133,4438
faster_uniform_ycsb_a,nobalance_thp,cpu0.weightedinterleave0_2.13,4G,315.94,920275.81,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97926,8199
faster_uniform_ycsb_a,nobalance_thp,cpu0.weightedinterleave0_2.12,4G,315.05,993249.67,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90182,7205
faster_uniform_ycsb_a,nobalance_thp,cpu0.weightedinterleave0_2,4G,313.34,1162450.85,4.0,0,0,0,0,3140,4745,0,0,0,0,0,0,0,0,0,0,4241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89885,5516
faster_uniform_ycsb_a,nobalance_thp,cpu0.weightedinterleave0_2.43,4G,313.89,1116538.68,8.3,0,0,0,0,44202,3804,0,0,0,0,722,0,0,0,0,0,4241,0,0,0,0,0,0,0,0,0,0,0,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98637,5370
faster_uniform_ycsb_a,nobalance_thp,cpu0.weightedinterleave0_2.21,4G,313.47,1168685.3,8.3,0,0,0,0,4603,8546,0,0,0,0,9,0,0,0,0,0,4241,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102197,4621
faster_uniform_ycsb_a,autonuma_tiering_thp_512K,cpu0.weightedinterleave0_2.13,4G,315.83,1156437.06,8.3,615570,5120327,0,40023,761933,4039302,615570,0,0,0,0,0,0,4808,0,0,0,0,0,0,0,0,17088,0,0,0,0,0,0,0,0,1124,0,0,0,0,0,0,0,0,0,0,0,111846,17720
faster_uniform_ycsb_a,autonuma_tiering_thp_512K,cpu0.weightedinterleave0_2.12,4G,315.12,1187185.43,8.3,462323,4107553,0,32589,691110,3146094,462323,0,0,0,0,0,0,3611,0,0,0,0,0,0,0,0,17087,0,0,0,0,0,0,0,0,1754,0,0,0,0,0,0,0,0,0,0,0,102807,15955
faster_uniform_ycsb_a,autonuma_tiering_thp_512K,cpu0.weightedinterleave0_2,4G,313.84,1194275.88,4.3,86761,4256061,0,33474,323800,3731410,86864,0,0,0,0,0,0,684,0,0,0,0,0,0,0,0,17126,0,0,0,0,0,0,0,0,1825,0,0,0,0,0,0,0,0,0,0,0,141050,11918
faster_uniform_ycsb_a,autonuma_tiering_thp_512K,cpu0.weightedinterleave0_2.43,4G,313.8,1201912.91,8.3,79787,4473675,0,35023,229509,4222530,79872,0,0,0,1,0,0,624,0,0,0,0,0,0,0,0,17087,0,0,0,0,0,0,0,0,1138,0,0,0,0,0,0,0,0,0,0,0,113597,11516
faster_uniform_ycsb_a,autonuma_tiering_thp_512K,cpu0.weightedinterleave0_2.21,4G,313.72,1216143.46,8.3,65330,4345211,0,33895,218451,3949807,65338,0,0,0,0,0,0,513,0,0,0,0,0,0,0,0,17088,0,0,0,0,0,0,0,0,1177,0,0,0,0,0,0,0,0,0,0,0,114225,10712
faster_uniform_ycsb_a,nobalance_thp_512K,cpu0.weightedinterleave0_2.13,4G,316.93,824914.08,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114184,17646
faster_uniform_ycsb_a,nobalance_thp_512K,cpu0.weightedinterleave0_2.12,4G,316.13,875841.6,8.3,0,0,0,0,206305,3826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17088,0,0,0,0,0,0,0,0,1523,0,0,0,0,0,0,0,0,0,0,0,98902,19460
faster_uniform_ycsb_a,nobalance_thp_512K,cpu0.weightedinterleave0_2,4G,314.48,1022308.93,8.3,0,0,0,0,213095,17344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17086,0,0,0,0,0,0,0,0,1638,0,0,0,0,0,0,0,0,0,0,0,100935,11882
faster_uniform_ycsb_a,nobalance_thp_512K,cpu0.weightedinterleave0_2.43,4G,314.15,1066833.87,8.3,0,0,0,0,157206,14073,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,17094,0,0,0,0,0,62,0,0,1142,0,0,0,0,0,0,0,0,0,0,0,130393,11579
faster_uniform_ycsb_a,nobalance_thp_512K,cpu0.weightedinterleave0_2.21,4G,313.93,1100341.4,8.3,0,0,0,0,132755,13823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17087,0,0,0,0,0,0,0,0,1014,0,0,0,0,0,0,0,0,0,0,0,106023,10649
faster_uniform_ycsb_a,autonuma_tiering_thp_64K,cpu0.weightedinterleave0_2.13,4G,315.87,1193018.16,8.3,630605,4241699,0,263157,661988,3101203,630624,0,0,0,39427,0,0,0,0,0,0,0,0,136588,0,0,0,0,0,0,0,0,1871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158911,106944
faster_uniform_ycsb_a,autonuma_tiering_thp_64K,cpu0.weightedinterleave0_2.12,4G,315.13,1218054.07,4.8,502946,4754035,0,295427,541704,3682628,502946,0,0,0,31457,0,0,0,0,0,0,0,0,136529,0,0,0,0,0,0,0,0,2350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168938,95024
faster_uniform_ycsb_a,autonuma_tiering_thp_64K,cpu0.weightedinterleave0_2,4G,313.82,1240396.37,4.3,141525,3703554,0,230201,186247,3123774,141593,0,0,0,8849,0,0,0,0,0,0,0,0,136506,0,0,0,0,0,0,0,0,2747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166259,71264
faster_uniform_ycsb_a,autonuma_tiering_thp_64K,cpu0.weightedinterleave0_2.43,4G,313.42,1219736.23,8.3,46131,4435280,0,275756,77119,4038169,46215,0,0,0,2914,0,0,0,0,0,0,0,0,136581,0,0,0,0,0,0,0,0,1832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161639,68513
faster_uniform_ycsb_a,autonuma_tiering_thp_64K,cpu0.weightedinterleave0_2.21,4G,313.39,1230343.52,8.3,40436,3638015,0,226117,69644,3245868,40540,0,0,0,2535,0,0,0,0,0,0,0,0,136567,0,0,0,0,0,0,0,0,1770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162969,67604
faster_uniform_ycsb_a,nobalance_thp_64K,cpu0.weightedinterleave0_2.13,4G,316.59,825912.1,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122676,106864
faster_uniform_ycsb_a,nobalance_thp_64K,cpu0.weightedinterleave0_2.12,4G,315.76,875443.84,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172885,94932
faster_uniform_ycsb_a,nobalance_thp_64K,cpu0.weightedinterleave0_2,4G,314.2,1022765.9,4.1,0,0,0,0,34297,2999,0,0,0,0,42,0,0,0,0,0,0,0,0,136577,0,0,0,0,0,0,0,0,1906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169082,71163
faster_uniform_ycsb_a,nobalance_thp_64K,cpu0.weightedinterleave0_2.43,4G,313.85,1087379.55,8.3,0,0,0,0,31367,4472,0,0,0,0,7,0,0,0,0,0,0,0,0,136610,0,0,0,0,0,0,0,0,1862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158220,66073
faster_uniform_ycsb_a,nobalance_thp_64K,cpu0.weightedinterleave0_2.21,4G,313.57,1124984.46,8.3,0,0,0,0,33008,4127,0,0,0,0,30,0,0,0,0,0,0,0,0,136576,0,0,0,0,0,0,0,0,1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159471,65390
faster_uniform_ycsb_b,autonuma_tiering,cpu0.weightedinterleave0_2.13,4G,321.67,1376221.74,8.3,2559990,5169811,0,5085525,4415754,30723,2559990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3202837,3510871
faster_uniform_ycsb_b,autonuma_tiering,cpu0.weightedinterleave0_2.12,4G,320.71,1398222.58,5.6,2403249,5033251,0,4953154,4270494,32079,2403249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3224701,3345030
faster_uniform_ycsb_b,autonuma_tiering,cpu0.weightedinterleave0_2,4G,319.12,1514601.11,5.3,1732467,3708923,0,3665478,3297566,27737,1732562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2917401,2667313
faster_uniform_ycsb_b,autonuma_tiering,cpu0.weightedinterleave0_2.43,4G,318.56,1478467.7,8.3,2001224,4203729,0,4131018,3968674,42899,2001265,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3315733,2960248
faster_uniform_ycsb_b,autonuma_tiering,cpu0.weightedinterleave0_2.21,4G,318.37,1470038.1,7.5,2057331,4213521,0,4155184,4086129,36202,2057332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3381647,3008604
faster_uniform_ycsb_b,nobalance,cpu0.weightedinterleave0_2.13,4G,320.9,1105608.07,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,647555,1636285
faster_uniform_ycsb_b,nobalance,cpu0.weightedinterleave0_2.12,4G,320.19,1165608.09,5.5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,827001,1454377
faster_uniform_ycsb_b,nobalance,cpu0.weightedinterleave0_2,4G,318.83,1353137.57,5.3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1191219,1090931
faster_uniform_ycsb_b,nobalance,cpu0.weightedinterleave0_2.43,4G,318.13,1444631.88,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1302033,987465
faster_uniform_ycsb_b,nobalance,cpu0.weightedinterleave0_2.21,4G,317.95,1496575.82,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1301820,986024
faster_uniform_ycsb_b,autonuma_tiering_thp,cpu0.weightedinterleave0_2.13,4G,314.85,1951864.77,8.3,508763,5450721,10644,11168,511805,4407562,508823,993,0,0,0,0,0,0,0,0,4241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8590,0,0,0,0,0,0,0,0,102248,8169
faster_uniform_ycsb_b,autonuma_tiering_thp,cpu0.weightedinterleave0_2.12,4G,313.93,1999154.69,4.6,408828,4366651,8527,8928,413149,3452629,408866,798,0,0,0,0,0,0,0,0,4241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6723,0,0,0,0,0,0,0,0,87500,7203
faster_uniform_ycsb_b,autonuma_tiering_thp,cpu0.weightedinterleave0_2,4G,312.81,1981094.55,4.0,55047,4127480,8060,8497,60737,3653034,55111,107,0,0,0,0,0,0,0,0,4241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7107,0,0,0,0,0,0,0,0,90417,5514
faster_uniform_ycsb_b,autonuma_tiering_thp,cpu0.weightedinterleave0_2.43,4G,312.89,1948090.71,8.3,39004,5278748,10309,10566,42723,4784387,39098,76,0,0,0,0,0,0,0,0,4241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9326,0,0,0,0,0,0,0,0,101559,5112
faster_uniform_ycsb_b,autonuma_tiering_thp,cpu0.weightedinterleave0_2.21,4G,312.98,1798970.46,8.3,17011,4729257,9236,9441,22798,4255000,17046,33,0,0,0,0,0,0,0,0,4241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8292,0,0,0,0,0,0,0,0,98716,4439
faster_uniform_ycsb_b,nobalance_thp,cpu0.weightedinterleave0_2.13,4G,315.91,1261257.76,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90924,8177
faster_uniform_ycsb_b,nobalance_thp,cpu0.weightedinterleave0_2.12,4G,315.02,1359436.78,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90529,7192
faster_uniform_ycsb_b,nobalance_thp,cpu0.weightedinterleave0_2,4G,313.38,1582622.53,4.1,0,0,0,0,3411,8539,0,0,0,0,0,0,0,0,0,0,4244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116381,5534
faster_uniform_ycsb_b,nobalance_thp,cpu0.weightedinterleave0_2.43,4G,313.52,1583927.58,8.3,0,0,0,0,4298,9470,0,0,0,0,0,0,0,0,0,0,4241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95948,5161
faster_uniform_ycsb_b,nobalance_thp,cpu0.weightedinterleave0_2.21,4G,313.27,1643552.11,8.3,0,0,0,0,4908,9480,0,0,0,0,0,0,0,0,0,0,4241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93687,4531
faster_uniform_ycsb_b,autonuma_tiering_thp_512K,cpu0.weightedinterleave0_2.13,4G,316.07,1607775.14,8.3,618083,5081234,0,39918,767110,4016314,618122,0,0,0,7,0,0,4829,0,0,0,0,0,0,0,0,17087,0,0,0,0,0,4,0,0,1137,0,0,0,0,0,0,0,0,0,0,0,110408,17801
faster_uniform_ycsb_b,autonuma_tiering_thp_512K,cpu0.weightedinterleave0_2.12,4G,315.01,1633438.16,4.8,465217,4388374,0,34447,696240,3381386,465235,0,0,0,0,0,0,3633,0,0,0,0,0,0,0,0,17086,0,0,0,0,0,0,0,0,1775,0,0,0,0,0,0,0,0,0,0,0,103047,15892
faster_uniform_ycsb_b,autonuma_tiering_thp_512K,cpu0.weightedinterleave0_2,4G,313.93,1668118.65,8.3,89968,4832956,0,38813,326024,4391298,89976,0,0,0,0,0,0,698,0,0,0,0,0,0,0,0,17089,0,0,0,0,0,0,0,0,1798,0,0,0,0,0,0,0,0,0,0,0,121546,12530
faster_uniform_ycsb_b,autonuma_tiering_thp_512K,cpu0.weightedinterleave0_2.43,4G,313.79,1661295.8,8.3,84453,4790360,0,37528,239746,4317635,84487,0,0,0,0,0,0,662,0,0,0,0,0,0,0,0,17087,0,0,0,0,0,0,0,0,1185,0,0,0,0,0,0,0,0,0,0,0,114823,11577
faster_uniform_ycsb_b,autonuma_tiering_thp_512K,cpu0.weightedinterleave0_2.21,4G,313.69,1663836.81,8.3,68402,4795390,0,37416,223766,4397010,68413,0,0,0,0,0,0,534,0,0,0,0,0,0,0,0,17088,0,0,0,0,0,0,0,0,1189,0,0,0,0,0,0,0,0,0,0,0,109693,10709
faster_uniform_ycsb_b,nobalance_thp_512K,cpu0.weightedinterleave0_2.13,4G,316.84,1094837.5,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106794,17538
faster_uniform_ycsb_b,nobalance_thp_512K,cpu0.weightedinterleave0_2.12,4G,316.1,1174237.33,8.3,0,0,0,0,160084,2847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17088,0,0,0,0,0,0,0,0,1242,0,0,0,0,0,0,0,0,0,0,0,101908,16839
faster_uniform_ycsb_b,nobalance_thp_512K,cpu0.weightedinterleave0_2,4G,314.45,1359552.5,8.3,0,0,0,0,203476,16193,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17087,0,0,0,0,0,0,0,0,1563,0,0,0,0,0,0,0,0,0,0,0,108929,12486
