workload,tiering,mem_policy,ldram_size,execution_time,throughput,rss,pgpromote_success,numa_pte_updates,numa_huge_pte_updates,numa_hint_faults,pgmigrate_success,pgmigrate_fail,numa_pages_migrated,thp_migration_success,thp_migration_success_2,thp_migration_success_3,thp_migration_success_4,thp_migration_success_5,thp_migration_success_6,thp_migration_success_7,thp_migration_success_8,thp_migration_success_9,thp_fault_alloc,thp_fault_alloc_2,thp_fault_alloc_3,thp_fault_alloc_4,thp_fault_alloc_5,thp_fault_alloc_6,thp_fault_alloc_7,thp_fault_alloc_8,thp_fault_alloc_9,thp_migration_split,thp_migration_split_2,thp_migration_split_3,thp_migration_split_4,thp_migration_split_5,thp_migration_split_6,thp_migration_split_7,thp_migration_split_8,thp_migration_split_9,thp_migration_fail,thp_migration_fail_2,thp_migration_fail_3,thp_migration_fail_4,thp_migration_fail_5,thp_migration_fail_6,thp_migration_fail_7,thp_migration_fail_8,thp_migration_fail_9,numa_local,numa_other
faster_uniform_ycsb_a,autonuma_tiering,cpu0.weightedinterleave0_2.12,4G,320.66,1036815.63,5.6,2026821,4935012,0,4869178,3547369,24529,2026821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2849371,2971209
faster_uniform_ycsb_a,autonuma_tiering,cpu0.weightedinterleave0_2,4G,319.05,1106978.08,5.3,1546054,3588030,0,3544586,2924422,27216,1546054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2748517,2479881
faster_uniform_ycsb_a,nobalance,cpu0.weightedinterleave0_2.12,4G,320.21,877010.32,5.5,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,823912,1454380
faster_uniform_ycsb_a,nobalance,cpu0.weightedinterleave0_2,4G,318.77,1016499.33,5.2,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1190450,1090898
faster_uniform_ycsb_a,autonuma_tiering_thp,cpu0.weightedinterleave0_2.12,4G,314.06,1304071.99,4.5,215342,5022425,9808,10119,231285,4792694,215408,420,0,0,0,0,0,0,0,0,4241,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9331,0,0,0,0,0,0,0,0,88697,7189
faster_uniform_ycsb_a,autonuma_tiering_thp,cpu0.weightedinterleave0_2,4G,312.87,1365388.28,4.0,61261,4420337,8632,9062,66462,4061547,61281,119,0,0,0,0,0,0,0,0,4241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7905,0,0,0,0,0,0,0,0,89158,5692
faster_uniform_ycsb_a,nobalance_thp,cpu0.weightedinterleave0_2.12,4G,315.05,993249.67,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90182,7205
faster_uniform_ycsb_a,nobalance_thp,cpu0.weightedinterleave0_2,4G,313.34,1162450.85,4.0,0,0,0,0,3140,4745,0,0,0,0,0,0,0,0,0,0,4241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89885,5516
faster_uniform_ycsb_a,autonuma_tiering_thp_512K,cpu0.weightedinterleave0_2.12,4G,315.06,1172036.24,8.3,435954,4593959,0,36127,654046,3611404,435972,0,0,0,0,0,0,3404,0,0,0,0,0,0,0,0,17088,0,0,0,0,0,0,0,0,1681,0,0,0,0,0,0,0,0,0,0,0,101169,15774
faster_uniform_ycsb_a,autonuma_tiering_thp_512K,cpu0.weightedinterleave0_2,4G,313.74,1208400.3,8.3,62998,3916279,0,31065,280369,3559124,63100,0,0,0,0,0,0,490,0,0,0,0,0,0,0,0,17087,0,0,0,0,0,0,0,0,1675,0,0,0,0,0,0,0,0,0,0,0,107515,12138
faster_uniform_ycsb_a,nobalance_thp_512K,cpu0.weightedinterleave0_2.12,4G,316.14,876423.73,8.3,0,0,0,0,199401,3757,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17087,0,0,0,0,0,0,0,0,1488,0,0,0,0,0,0,0,0,0,0,0,109413,15747
faster_uniform_ycsb_a,nobalance_thp_512K,cpu0.weightedinterleave0_2,4G,314.44,1027680.82,8.3,0,0,0,0,203360,8935,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,17098,0,0,0,0,0,0,0,0,1579,0,0,0,0,0,0,0,0,0,0,0,769770,12478
faster_uniform_ycsb_a,autonuma_tiering_thp_64K,cpu0.weightedinterleave0_2.12,4G,315.1,1223526.04,4.8,508915,3912276,0,242816,558293,2835868,508915,0,0,0,31842,0,0,0,0,0,0,0,0,136668,0,0,0,0,0,0,0,0,3008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186376,95086
