workload,tiering,mem_policy,execution_time,throughput,rss,pgpromote_success,numa_pte_updates,numa_huge_pte_updates,numa_hint_faults,pgmigrate_success,pgmigrate_fail,numa_pages_migrated,thp_migration_success,thp_migration_success_2,thp_migration_success_3,thp_migration_success_4,thp_migration_success_5,thp_migration_success_6,thp_migration_success_7,thp_migration_success_8,thp_migration_success_9,thp_fault_alloc,thp_fault_alloc_2,thp_fault_alloc_3,thp_fault_alloc_4,thp_fault_alloc_5,thp_fault_alloc_6,thp_fault_alloc_7,thp_fault_alloc_8,thp_fault_alloc_9,thp_migration_split,thp_migration_split_2,thp_migration_split_3,thp_migration_split_4,thp_migration_split_5,thp_migration_split_6,thp_migration_split_7,thp_migration_split_8,thp_migration_split_9,thp_migration_fail,thp_migration_fail_2,thp_migration_fail_3,thp_migration_fail_4,thp_migration_fail_5,thp_migration_fail_6,thp_migration_fail_7,thp_migration_fail_8,thp_migration_fail_9,numa_local,numa_other
bc-urand,nobalance,cpu0.weightedinterleave0_2,335.87,29.77,20.0,0,0,0,0,0,0,0,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,5649481,5446792
bc-urand,nobalance_thp,cpu0.weightedinterleave0_2,289.46,34.55,23.7,0,0,0,5,0,0,0,0,,,,,,,,,13368,,,,,,,,,0,,,,,,,,,0,,,,,,,,,5516937,2243992
bc-urand,nobalance_thp,cpu0.weightedinterleave0_2,289.2,34.58,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2337379,2243980
bc-urand,nobalance_thp_64K,cpu0.weightedinterleave0_2,328.61,30.43,20.0,0,0,0,0,0,0,0,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,2543437,2436389
bc-urand,nobalance_thp_64K,cpu0.weightedinterleave0_2,329.12,30.38,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2533100,2436399
bc-urand,nobalance_thp_512K,cpu0.weightedinterleave0_2,328.52,30.44,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3031848,2262080
bc-urand,autonuma_tiering,cpu0.weightedinterleave0_2,228.64,43.74,20.0,2883673,2883686,0,2917772,2883673,0,2883673,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,8400837,5446768
bc-urand,autonuma_tiering_thp,cpu0.weightedinterleave0_2,,,17.0,2817366,2817384,5501,7054,2817366,0,2817366,5501,,,,,,,,,12328,,,,,,,,,0,,,,,,,,,0,,,,,,,,,2849331,2242801
bc-urand,autonuma_tiering_thp,cpu0.weightedinterleave0_2,165.04,60.59,20.0,2884451,2884456,5632,7195,2884451,0,2884451,5632,0,0,0,0,0,0,0,0,12540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2302953,2243481
bc-urand,autonuma_tiering_thp_64K,cpu0.weightedinterleave0_2,210.46,47.51,20.0,2949318,2949333,0,187693,2949329,0,2949329,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,2680725,2436174
bc-urand,autonuma_tiering_thp_64K,cpu0.weightedinterleave0_2,208.07,48.06,20.0,2949269,2949285,0,187745,2949280,0,2949280,0,0,0,184320,0,0,0,0,0,0,0,0,402015,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2691243,2436195
bc-urand,autonuma_tiering_thp_512K,cpu0.weightedinterleave0_2,210.84,47.43,20.0,2949142,2949159,0,24127,2949154,0,2949154,0,0,0,0,0,0,23038,0,0,0,0,0,0,0,0,50186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3013762,2260993
bc-web,nobalance,cpu0.weightedinterleave0_2,311.55,32.1,16.3,0,0,0,0,0,0,0,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,9346942,9252340
bc-web,nobalance_thp,cpu0.weightedinterleave0_2,286.46,34.91,16.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2836464,2081475
bc-web,nobalance_thp_64K,cpu0.weightedinterleave0_2,297.56,33.61,16.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,908855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2586315,2458424
bc-web,nobalance_thp_512K,cpu0.weightedinterleave0_2,297.14,33.65,10.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2582928,2070689
bc-web,autonuma_tiering,cpu0.weightedinterleave0_2,260.18,38.43,16.3,1338736,1363117,0,1409011,1338736,0,1338736,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,10680452,9252357
bc-web,autonuma_tiering_thp,cpu0.weightedinterleave0_2,233.39,42.85,18.3,1371555,1372695,2673,7494,1371568,0,1371568,2672,0,0,0,0,0,0,0,0,28079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2810056,2082029
bc-web,autonuma_tiering_thp_64K,cpu0.weightedinterleave0_2,243.51,41.07,16.3,1349796,1363230,0,96001,1349796,0,1349796,0,0,0,84338,0,0,0,0,0,0,0,0,920299,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3084839,2458540
bc-web,autonuma_tiering_thp_512K,cpu0.weightedinterleave0_2,243.26,41.11,16.3,1420270,1421183,0,15414,1420270,0,1420270,0,0,0,0,0,0,11083,0,0,0,0,0,0,0,0,113064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2164194,2072541
bfs-urand,nobalance,cpu0.weightedinterleave0_2,200.36,49.91,17.6,0,0,0,0,0,0,0,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,10061278,10003197
bfs-urand,nobalance_thp,cpu0.weightedinterleave0_2,186.33,53.67,15.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2401906,2341754
bfs-urand,nobalance_thp_64K,cpu0.weightedinterleave0_2,187.1,53.45,17.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2834338,2744260
bfs-urand,nobalance_thp_512K,cpu0.weightedinterleave0_2,188.78,52.97,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3055371,2358651
bfs-urand,autonuma_tiering,cpu0.weightedinterleave0_2,175.47,56.99,17.7,2343268,2429986,0,2347209,2343278,0,2343278,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,12398281,10003367
bfs-urand,autonuma_tiering_thp,cpu0.weightedinterleave0_2,157.6,63.45,17.6,2349008,2454847,4773,15971,2349008,0,2349008,4573,0,0,0,0,0,0,0,0,30095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2406987,2341952
bfs-urand,autonuma_tiering_thp_64K,cpu0.weightedinterleave0_2,161.6,61.88,17.6,2334504,2409631,0,153641,2334504,0,2334504,0,0,0,145893,0,0,0,0,0,0,0,0,970032,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2934861,2742448
bfs-urand,autonuma_tiering_thp_512K,cpu0.weightedinterleave0_2,170.11,58.79,17.6,2322265,2402825,0,28301,2322265,0,2322265,0,0,0,0,0,0,18127,0,0,0,0,0,0,0,0,120972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2432247,2364067
bfs-web,nobalance,cpu0.weightedinterleave0_2,204.76,48.84,15.2,0,0,0,0,0,0,0,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,8473441,8398855
bfs-web,nobalance_thp,cpu0.weightedinterleave0_2,189.24,52.84,17.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2882210,2154696
bfs-web,nobalance_thp_64K,cpu0.weightedinterleave0_2,190.56,52.48,15.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,813663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2920023,2405875
bfs-web,nobalance_thp_512K,cpu0.weightedinterleave0_2,190.19,52.58,15.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2121649,2056814
bfs-web,autonuma_tiering,cpu0.weightedinterleave0_2,188.99,52.91,15.4,838585,1050752,0,839397,838585,0,838585,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,9296549,8399098
