workload,tiering,mem_policy,execution_time,throughput,rss,pgpromote_success,numa_pte_updates,numa_huge_pte_updates,numa_hint_faults,pgmigrate_success,numa_pages_migrated,thp_migration_success,thp_fault_alloc,numa_local,numa_other
bc-urand,nobalance,cpu0.weightedinterleave0_2.12,392.74,25.46,1.6,0,0,0,0,0,0,0,0,3756627,7262346
bc-urand,nobalance_thp,cpu0.weightedinterleave0_2.12,341.67,29.27,20.0,0,0,0,0,0,0,0,12540,1596119,2991914
bc-urand,autonuma_tiering_thp,cpu0.weightedinterleave0_2.12,173.22,57.73,20.0,3846273,3846279,7510,9478,3846273,3846273,7510,12540,1560938,2990721
bc-urand,autonuma_tiering,cpu0.weightedinterleave0_2.12,253.55,39.44,13.8,3801216,3801224,0,3844385,3801216,3801216,0,0,7507588,7262331
bc-web,nobalance,cpu0.weightedinterleave0_2.12,349.93,28.58,16.3,0,0,0,1,0,0,0,0,6286177,12336351
bc-web,nobalance_thp,cpu0.weightedinterleave0_2.12,326.03,30.67,16.3,0,0,0,0,0,0,0,28194,1459833,2731016
bc-web,autonuma_tiering_thp,cpu0.weightedinterleave0_2.12,251.38,39.78,16.3,1940883,1946691,3792,10860,1940883,1940883,3781,28194,1453840,2732682
bc-web,autonuma_tiering,cpu0.weightedinterleave0_2.12,281.97,35.46,0.8,1841214,1905148,0,1943349,1841226,1841226,0,0,8096507,12336412
bfs-urand,nobalance,cpu0.weightedinterleave0_2.12,222.42,44.96,8.1,0,0,0,0,0,0,0,0,6748874,13337236
bfs-urand,nobalance_thp,cpu0.weightedinterleave0_2.12,210.65,47.47,17.6,0,0,0,0,0,0,0,30095,1625076,3123297
bfs-urand,autonuma_tiering_thp,cpu0.weightedinterleave0_2.12,176.44,56.68,17.6,3130495,3186760,6197,22559,3130495,3130495,6092,30095,1634977,3123351
bfs-urand,autonuma_tiering,cpu0.weightedinterleave0_2.12,189.86,52.67,17.6,3110746,3257785,0,3120182,3110757,3110757,0,0,9840777,13338247
bfs-web,nobalance,cpu0.weightedinterleave0_2.12,223.33,44.78,15.4,0,0,0,0,0,0,0,0,5684088,11198145
bfs-web,nobalance_thp,cpu0.weightedinterleave0_2.12,207.88,48.1,15.3,0,0,0,0,0,0,0,24691,1471291,2812234
bfs-web,autonuma_tiering_thp,cpu0.weightedinterleave0_2.12,185.55,53.89,15.2,1330344,1371545,2675,4572,1330344,1330344,2595,24691,1471982,2815528
bfs-web,autonuma_tiering,cpu0.weightedinterleave0_2.12,202.12,49.48,6.8,1085346,1361886,0,1086447,1085357,1085357,0,0,6744578,11198657
cc-urand,nobalance,cpu0.weightedinterleave0_2.12,199.48,50.13,17.5,0,0,0,0,0,0,0,0,3826511,7524934
cc-urand,nobalance_thp,cpu0.weightedinterleave0_2.12,169.98,58.83,17.5,0,0,0,0,0,0,0,13295,1554759,2995582
cc-urand,autonuma_tiering_thp,cpu0.weightedinterleave0_2.12,139.56,71.65,17.5,3407555,3407570,6652,11486,3407566,3407566,6652,13295,1552900,2995543
cc-urand,autonuma_tiering,cpu0.weightedinterleave0_2.12,180.42,55.43,17.5,3408320,3408336,0,3408406,3408330,3408330,0,0,7227358,7524913
cc-web,nobalance,cpu0.weightedinterleave0_2.12,305.28,32.76,15.3,0,0,0,0,0,0,0,0,7002320,13821841
cc-web,nobalance_thp,cpu0.weightedinterleave0_2.12,265.61,37.65,15.2,0,0,0,142,138,138,0,32513,1453785,2742868
cc-web,autonuma_tiering_thp,cpu0.weightedinterleave0_2.12,185.27,53.98,15.3,2228084,2678276,5228,7377,2228097,2228097,4349,32514,1435352,2742285
cc-web,autonuma_tiering,cpu0.weightedinterleave0_2.12,214.52,46.62,15.3,1613490,2678267,0,1613694,1613490,1613490,0,0,8593996,13822074
pr-urand,nobalance,cpu0.weightedinterleave0_2.12,347.25,28.8,-0.0,0,0,0,0,0,0,0,0,3513402,6824421
pr-urand,nobalance_thp,cpu0.weightedinterleave0_2.12,334.76,29.87,18.0,0,0,0,6,3,3,0,11255,1591236,2990104
pr-urand,autonuma_tiering_thp,cpu0.weightedinterleave0_2.12,167.24,59.79,18.0,3669709,3669717,7162,12383,3669709,3669709,7162,11255,1561199,2990078
pr-urand,autonuma_tiering,cpu0.weightedinterleave0_2.12,219.28,45.6,18.0,3670051,3670060,0,3670174,3670051,3670051,0,0,7153063,6824397
pr-web,nobalance,cpu0.weightedinterleave0_2.12,221.12,45.22,15.5,0,0,0,1,0,0,0,0,3273983,6420141
pr-web,nobalance_thp,cpu0.weightedinterleave0_2.12,209.91,47.64,15.5,0,0,0,2,1,1,0,11010,1397456,2668984
pr-web,autonuma_tiering_thp,cpu0.weightedinterleave0_2.12,207.19,48.26,15.5,417131,1673851,3264,3903,417144,417144,810,11010,1400339,2668972
pr-web,autonuma_tiering,cpu0.weightedinterleave0_2.12,216.66,46.16,1.9,592104,1848816,0,592389,592104,592104,0,0,3872150,6420158
NPB-BT.D,nobalance,cpu0.weightedinterleave0_2.12,845.86,12461.41,-0.1,0,0,0,0,0,0,0,0,6454724,12432258
NPB-BT.D,nobalance_thp,cpu0.weightedinterleave0_2.12,804.18,13235.47,71.0,0,0,0,6,2,2,0,36374,243507,52959
NPB-BT.D,autonuma_tiering_thp,cpu0.weightedinterleave0_2.12,580.35,18818.07,71.0,12420537,12420552,24251,28293,12420538,12420538,24251,36374,218035,52960
NPB-BT.D,autonuma_tiering,cpu0.weightedinterleave0_2.12,656.9,16569.09,-0.1,12407574,12407615,0,12407604,12407574,12407574,0,0,18814751,12432257
NPB-CG.D,nobalance,cpu0.weightedinterleave0_2.12,313.34,1761.11,0.0,0,0,0,0,0,0,0,0,1535120,2857336
NPB-CG.D,nobalance_thp,cpu0.weightedinterleave0_2.12,303.11,1805.3,16.3,0,0,0,0,0,0,0,8344,91438,13556
NPB-CG.D,autonuma_tiering_thp,cpu0.weightedinterleave0_2.12,213.33,3000.75,16.3,2849508,2851585,5563,8881,2849516,2849516,5559,8344,85937,14923
NPB-CG.D,autonuma_tiering,cpu0.weightedinterleave0_2.12,235.18,2729.1,16.3,2846573,2851401,0,2846695,2846573,2846573,0,0,4346783,2857322
NPB-FT.C,nobalance,cpu0.weightedinterleave0_2.12,449.56,6525.17,-0.1,0,0,0,0,0,0,0,0,3642840,7012880
NPB-FT.C,nobalance_thp,cpu0.weightedinterleave0_2.12,435.85,6754.53,40.0,0,0,0,0,0,0,0,20497,137353,30239
NPB-FT.C,autonuma_tiering_thp,cpu0.weightedinterleave0_2.12,201.57,16066.83,40.0,6998992,6998995,13665,16180,6998992,6998992,13665,20497,103383,30240
NPB-FT.C,autonuma_tiering,cpu0.weightedinterleave0_2.12,236.51,13612.95,40.0,6998820,6998824,0,6998823,6998820,6998820,0,0,10574936,7012879
NPB-LU.D,nobalance,cpu0.weightedinterleave0_2.12,583.71,12088.01,-0.1,0,0,0,0,0,0,0,0,5207129,10064839
NPB-LU.D,nobalance_thp,cpu0.weightedinterleave0_2.12,574.1,12286.35,57.5,0,0,0,0,0,0,0,29451,175881,42034
NPB-LU.D,autonuma_tiering_thp,cpu0.weightedinterleave0_2.12,335.15,23479.24,57.5,10053572,10053574,19631,22136,10053572,10053572,19631,29451,144453,42359
NPB-LU.D,autonuma_tiering,cpu0.weightedinterleave0_2.12,381.31,20957.44,-0.1,10043253,10043309,0,10043298,10043253,10043253,0,0,15185611,10064841
NPB-MG.D,nobalance,cpu0.weightedinterleave0_2.12,259.14,5533.73,-0.1,0,0,0,0,0,0,0,0,2396067,4633372
NPB-MG.D,nobalance_thp,cpu0.weightedinterleave0_2.12,253.54,5625.13,26.4,0,0,0,0,0,0,0,13544,85870,19393
NPB-MG.D,autonuma_tiering_thp,cpu0.weightedinterleave0_2.12,98.93,17200.96,26.4,4621378,4623786,9029,9623,4621378,4621378,9025,13544,52243,19410
NPB-MG.D,autonuma_tiering,cpu0.weightedinterleave0_2.12,115.44,14996.95,26.4,4619161,4623953,0,4619177,4619161,4619161,0,0,6972310,4633381
NPB-SP.D,nobalance,cpu0.weightedinterleave0_2.12,535.99,5384.04,-0.1,0,0,0,2,1,1,0,0,6675720,13023461
NPB-SP.D,nobalance_thp,cpu0.weightedinterleave0_2.12,548.31,5257.7,74.4,0,0,0,0,0,0,0,38106,177636,54580
NPB-SP.D,autonuma_tiering_thp,cpu0.weightedinterleave0_2.12,270.49,14095.56,74.4,12642562,14283536,27891,31515,12642562,12642562,24686,38106,140635,54576
NPB-SP.D,autonuma_tiering,cpu0.weightedinterleave0_2.12,299.53,12229.01,-0.1,12903019,13301755,0,13299055,12903019,12903019,0,0,19502885,13048681
faster_uniform_ycsb_a,nobalance,cpu0.weightedinterleave0_2.12,320.16,871735.98,8.3,0,0,0,0,0,0,0,0,821869,1454403
faster_uniform_ycsb_a,nobalance_thp,cpu0.weightedinterleave0_2.12,315.01,989640.43,8.3,0,0,0,0,0,0,0,4241,100959,7217
faster_uniform_ycsb_a,autonuma_tiering_thp,cpu0.weightedinterleave0_2.12,314.31,2217114.59,8.3,1419550,1449180,2829,3143,1419634,1419634,2772,4241,96075,7240
faster_uniform_ycsb_a,autonuma_tiering,cpu0.weightedinterleave0_2.12,320.52,1714113.5,8.3,1419108,1448029,0,1419110,1419108,1419108,0,0,2241100,1454402
faster_uniform_ycsb_b,nobalance,cpu0.weightedinterleave0_2.12,320.21,1170409.87,8.3,0,0,0,0,0,0,0,0,821216,1454394
faster_uniform_ycsb_b,nobalance_thp,cpu0.weightedinterleave0_2.12,315.06,1350681.84,8.3,0,0,0,1,0,0,0,4241,95385,7226
faster_uniform_ycsb_b,autonuma_tiering_thp,cpu0.weightedinterleave0_2.12,314.3,3055834.53,8.3,1418534,1447136,2825,3143,1418613,1418613,2770,4241,100465,7237
faster_uniform_ycsb_b,autonuma_tiering,cpu0.weightedinterleave0_2.12,320.55,2249232.39,8.3,1419019,1448029,0,1419107,1419105,1419105,0,0,2242270,1454419
faster_uniform_ycsb_c,nobalance,cpu0.weightedinterleave0_2.12,320.16,1280470.82,8.3,0,0,0,0,0,0,0,0,822764,1454416
faster_uniform_ycsb_c,nobalance_thp,cpu0.weightedinterleave0_2.12,315.01,1493729.12,8.3,0,0,0,1,0,0,0,4241,98179,7227
faster_uniform_ycsb_c,autonuma_tiering_thp,cpu0.weightedinterleave0_2.12,314.32,3499316.55,8.3,1418615,1447138,2825,3147,1418615,1418615,2770,4241,102631,7206
faster_uniform_ycsb_c,autonuma_tiering,cpu0.weightedinterleave0_2.12,320.6,2531938.42,8.3,1419030,1448037,0,1419113,1419092,1419092,0,0,2237293,1454407
faster_uniform_ycsb_f,nobalance,cpu0.weightedinterleave0_2.12,320.39,1374326.65,8.3,0,0,0,0,0,0,0,0,822476,1454422
faster_uniform_ycsb_f,nobalance_thp,cpu0.weightedinterleave0_2.12,315.28,1658030.76,8.3,0,0,0,0,0,0,0,4241,98387,7234
faster_uniform_ycsb_f,autonuma_tiering_thp,cpu0.weightedinterleave0_2.12,314.59,2675519.35,8.3,1420144,1449692,2830,3145,1420147,1420147,2773,4241,99871,7227
faster_uniform_ycsb_f,autonuma_tiering,cpu0.weightedinterleave0_2.12,320.83,1976922.72,8.3,1416166,1448027,0,1416167,1416166,1416166,0,0,2235963,1454414
faster_ycsb_a,nobalance,cpu0.weightedinterleave0_2.12,320.41,1371686.54,8.3,0,0,0,0,0,0,0,0,819106,1454407
faster_ycsb_a,nobalance_thp,cpu0.weightedinterleave0_2.12,315.29,1660868.91,8.3,0,0,0,0,0,0,0,4241,98357,7230
faster_ycsb_a,autonuma_tiering_thp,cpu0.weightedinterleave0_2.12,314.55,2679500.94,8.3,1419029,1447654,2826,3156,1419135,1419135,2771,4241,99199,7225
faster_ycsb_a,autonuma_tiering,cpu0.weightedinterleave0_2.12,320.84,1971068.5,8.3,1416025,1448027,0,1416026,1416025,1416025,0,0,2237123,1454412
faster_ycsb_f,nobalance,cpu0.weightedinterleave0_2.12,320.45,832278.3,8.3,0,0,0,0,0,0,0,0,822643,1454418
faster_ycsb_f,nobalance_thp,cpu0.weightedinterleave0_2.12,315.29,931463.35,8.3,0,0,0,0,0,0,0,4241,96684,7229
faster_ycsb_f,autonuma_tiering_thp,cpu0.weightedinterleave0_2.12,314.58,1198044.44,8.3,1420135,1449177,2829,3142,1420145,1420145,2773,4241,102158,7221
faster_ycsb_f,autonuma_tiering,cpu0.weightedinterleave0_2.12,320.81,1015253.63,8.3,1414801,1448038,0,1414931,1414909,1414909,0,0,2234798,1454405
tpch_9,nobalance,cpu0.weightedinterleave0_2.12,226.29,44.19,0.4,0,0,0,0,0,0,0,0,2463394,4794820
