workload,tiering,mem_policy,ldram_size,execution_time,throughput,rss,pgpromote_success,numa_pte_updates,numa_huge_pte_updates,numa_hint_faults,pgmigrate_success,pgmigrate_fail,numa_pages_migrated,thp_migration_success,thp_migration_success_2,thp_migration_success_3,thp_migration_success_4,thp_migration_success_5,thp_migration_success_6,thp_migration_success_7,thp_migration_success_8,thp_migration_success_9,thp_fault_alloc,thp_fault_alloc_2,thp_fault_alloc_3,thp_fault_alloc_4,thp_fault_alloc_5,thp_fault_alloc_6,thp_fault_alloc_7,thp_fault_alloc_8,thp_fault_alloc_9,thp_migration_split,thp_migration_split_2,thp_migration_split_3,thp_migration_split_4,thp_migration_split_5,thp_migration_split_6,thp_migration_split_7,thp_migration_split_8,thp_migration_split_9,thp_migration_fail,thp_migration_fail_2,thp_migration_fail_3,thp_migration_fail_4,thp_migration_fail_5,thp_migration_fail_6,thp_migration_fail_7,thp_migration_fail_8,thp_migration_fail_9,numa_local,numa_other
bc-urand,tpp,cpu0.weightedinterleave0_2.12,80G,327.58,30.53,0.1,3407873,10661123,0,10702436,3407873,0,3407873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7140351,7262408
bc-urand,nobalance,cpu0.weightedinterleave0_2.12,80G,392.74,25.46,1.6,0,0,0,0,0,0,0,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,3756627,7262346
bc-urand,tpp_thp,cpu0.weightedinterleave0_2.12,80G,268.97,37.18,16.1,3364900,10444521,20393,24223,3364900,0,3364900,6570,0,0,0,0,0,0,0,0,12540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1579829,2992011
bc-urand,nobalance_thp,cpu0.weightedinterleave0_2.12,80G,341.67,29.27,20.0,0,0,0,0,0,0,0,0,,,,,,,,,12540,,,,,,,,,0,,,,,,,,,0,,,,,,,,,1596119,2991914
bc-urand,tpp_thp_512K,cpu0.weightedinterleave0_2.12,80G,305.23,32.76,15.9,3408045,10748935,0,85852,3408045,0,3408045,0,0,0,0,0,0,26623,0,0,0,0,0,0,0,0,50172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1616911,3015689
bc-urand,tpp_thp_64K,cpu0.weightedinterleave0_2.12,80G,317.62,31.48,15.9,3407908,10573482,0,665575,3407910,0,3407910,0,0,0,212990,0,0,0,0,0,0,0,0,401895,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1917669,3248502
bc-web,tpp,cpu0.weightedinterleave0_2.12,80G,294.67,33.94,13.2,1320515,4583176,0,4553525,1320515,0,1320515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7584230,12336581
bc-web,nobalance,cpu0.weightedinterleave0_2.12,80G,349.93,28.58,16.3,0,0,0,1,0,0,0,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,6286177,12336351
bc-web,tpp_thp,cpu0.weightedinterleave0_2.12,80G,265.53,37.66,12.4,1322522,4449472,8678,15789,1322522,0,1322522,2581,0,0,0,0,0,0,0,0,28194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1445144,2732129
bc-web,nobalance_thp,cpu0.weightedinterleave0_2.12,80G,326.03,30.67,16.3,0,0,0,0,0,0,0,0,,,,,,,,,28194,,,,,,,,,0,,,,,,,,,0,,,,,,,,,1459833,2731016
bc-web,tpp_thp_512K,cpu0.weightedinterleave0_2.12,80G,276.24,36.2,12.2,1321676,4318583,0,38555,1321676,0,1321676,0,0,0,0,0,0,10324,0,0,0,0,0,0,0,0,113063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1470423,2763623
